x1;x2;Clase
0.00640889;3.15292825;C2
4.87276833;4.245674;C1
3.8164922;7.67677847;C1
3.74059267;2.63811151;C1
0.11169774;3.251442;C2
5.08133183;3.06653035;C2
4.25641652;3.83614612;C2
12.7060762;3.01617481;C2
3.41373943;6.22943815;C1
5.76534318;2.95876949;C1
14.3563646;3.43162328;C2
2.53242592;3.2153386;C2
5.1752678;2.6126896;C1
5.73274941;5.5101474;C1
3.14172796;3.63127537;C2
2.67113254;3.37522507;C2
3.03369243;8.7615894;C1
6.33381146;3.13174841;C2
7.59407331;3.13187048;C2
4.66832484;6.91668447;C1
5.45377972;2.56633198;C1
3.77309488;2.9378338;C1
3.58439894;3.33942686;C2
10.2803125;3.84392834;C2
7.4466689;3.77043977;C2
5.9295938;3.78154851;C2
11.514481;3.97009186;C2
4.45518357;8.99102756;C1
14.4460891;3.5683462;C2
5.74886319;8.12732322;C1
5.70033876;8.39948729;C1
3.51033052;8.53578295;C1
4.52925199;6.75945311;C1
5.65959655;2.24118778;C1
9.21185949;3.67024751;C2
5.1686758;6.73317667;C1
3.91747795;5.60628071;C1
0.1780755;3.25812555;C2
3.51893674;3.01794488;C1
5.40562151;3.44392224;C1
9.90401929;3.41990417;C2
4.48695334;5.94894253;C1
3.92379528;2.79619739;C1
2.08334605;3.71639149;C2
1.34769738;3.57042146;C2
0.5323954;3.96139409;C2
4.73369549;5.3251442;C1
10.2377392;3.57417524;C2
5.75023652;8.59025849;C1
5.76461074;4.18030335;C1
0.54567095;3.24140141;C2
5.12619404;7.43302713;C1
9.96948149;3.25873592;C2
7.82982879;3.73625904;C2
3.20682394;2.03717154;C1
4.78167058;7.00918607;C1
0.03570666;3.03854488;C2
1.44703513;3.05993835;C2
3.24427015;3.74672689;C2
8.49818415;3.72713401;C2
5.90276803;7.48002564;C1
4.7488937;3.76287118;C1
5.97399823;3.01791437;C2
7.57942442;3.37128819;C2
12.4401074;3.38874477;C2
3.88167974;5.35975219;C1
10.4396191;3.31498154;C2
5.60274056;5.34992523;C1
4.88393811;3.56099124;C1
9.88616596;3.4209418;C2
9.90035707;3.08645894;C2
7.18161565;3.70119327;C2
11.3034455;3.67116306;C2
1.0176397;3.63243507;C2
4.18051698;5.21362957;C1
3.85943175;7.23306986;C1
4.67033906;8.35462508;C1
14.6113468;3.64177374;C2
3.7957091;8.1604358;C1
5.29163488;5.53300577;C1
3.46510208;7.42811365;C1
11.2512589;3.62587359;C2
4.72692038;4.13907285;C1
14.2524491;3.96340831;C2
4.34852138;2.9132664;C1
3.54887539;2.09634693;C1
2.34107486;3.34995575;C2
4.48530534;3.28363903;C2
14.1819514;3.23032319;C2
4.32682272;4.3042085;C1
3.91006195;7.40311899;C1
2.08105716;3.95107883;C2
4.17731254;2.37491989;C1
14.2249825;3.26822718;C2
5.8873867;5.86584063;C1
14.9359111;3.39149144;C2
4.20120853;6.11941893;C1
1.71758171;3.65083773;C2
4.2694174;3.93762017;C1
5.94982757;8.39756462;C1
11.31077;3.04986724;C2
5.97198401;7.49797052;C1
4.19397565;2.08993805;C1
4.97439497;6.882931;C1
5.04168828;7.8395642;C1
6.68263802;3.45115513;C2
5.25354778;2.96069216;C1
9.44441053;3.52839747;C2
10.4977569;3.40168462;C2
5.92245247;6.04806665;C1
13.7809381;3.54243599;C2
11.2828455;3.33304849;C2
3.24344615;7.2969451;C1
4.48704489;8.36915189;C1
4.93649098;3.21982482;C1
1.15726188;3.7505417;C2
11.7433699;3.31669057;C2
4.56459243;7.4746849;C1
7.76757103;3.00506607;C2
3.68492691;6.50352489;C1
4.28296762;3.39048433;C2
3.49778741;3.16064943;C1
0.9132664;3.53022858;C2
5.52958769;4.64537492;C1
8.7980285;3.99523911;C2
5.79674673;5.9132664;C1
3.46217231;3.46360668;C2
6.47297586;3.55497909;C2
11.1487167;3.93102817;C2
1.32847072;3.81963561;C2
12.018952;3.86947233;C2
5.42722861;4.9812006;C1
11.9425031;3.35926389;C2
4.08703879;2.36252937;C1
3.07745598;3.06942961;C1
7.47917112;3.77556688;C2
3.16910306;6.03823969;C1
10.5815302;3.66975921;C2
5.62306589;3.39265114;C1
5.23148289;6.65221107;C1
3.85796686;8.64024781;C1
9.2915128;3.52378918;C2
1.49693289;3.21329386;C2
0.36896878;3.8148442;C2
4.76326792;8.0961333;C1
3.68465224;3.56923124;C2
5.82091739;3.84255501;C1
3.22504349;8.87289041;C1
5.60301523;8.43003632;C1
5.42750328;4.97970519;C1
5.16968291;3.21720023;C2
10.5096591;3.09430219;C2
8.42036195;3.0639668;C2
5.73815119;6.49156163;C1
14.5248268;3.98052919;C2
5.47904904;6.00064089;C1
2.84920804;3.92150639;C2
3.36036256;3.25656911;C1
6.6400647;3.30820643;C2
1.32618183;3.47755364;C2
3.9696646;5.69621876;C1
5.06604205;3.57701346;C1
8.31049532;3.71803949;C2
8.74034852;3.81627857;C2
4.27289651;3.24192022;C2
5.93646046;3.24118778;C1
4.49592578;5.05960265;C1
11.874752;3.4680929;C2
