x1;x2;Clase
10.3361797;6.79234724;C2
6.45684157;11.1531198;C1
5.478473;5.19572247;C2
8.37519327;-10.8472387;C1
5.63064056;6.95549012;C2
-1.19960884;-1.10564098;C1
6.12898909;8.01612238;C2
2.18262006;0.80164899;C1
9.55108568;9.48357389;C2
7.19751803;6.99495082;C2
7.75540674;-4.54396297;C1
14.0284418;10.2187731;C1
-0.04980858;5.61766218;C1
6.61745141;4.35044491;C2
7.62794095;7.28978172;C2
1.04245352;3.21736003;C2
6.80825885;5.90947117;C2
-4.60785497;1.18561491;C1
8.12381565;5.7145369;C2
4.15431693;5.06759967;C2
5.31332695;5.30390686;C2
-3.39881819;-0.26789973;C1
4.83000783;9.17042577;C2
4.73236447;5.49065113;C2
5.29788828;4.93640506;C2
17.1768396;9.25989287;C1
7.31003855;-0.18265734;C1
5.16643901;5.30293143;C2
2.68979399;4.0189159;C2
6.18039827;4.92758296;C2
4.47087565;6.2515003;C2
7.71582087;6.28700924;C2
5.82159807;6.82339056;C2
5.17352181;10.2668172;C1
6.78856839;5.33355877;C1
4.51957238;5.94497795;C1
3.58975719;6.15797923;C2
9.19097591;1.44393415;C1
1.09338078;6.7880568;C1
-0.28449232;7.5368779;C1
4.19332526;3.72525381;C1
0.38102474;6.3756919;C1
-0.86753527;-7.58965609;C1
-0.89908337;8.37996812;C1
6.55662451;6.19203082;C1
6.36251322;7.39949407;C2
5.31907507;10.3356887;C1
7.42068075;1.68288331;C2
3.5209721;6.03021796;C2
6.92141146;5.14077431;C1
4.22128654;9.3823677;C1
4.89458195;6.89453351;C2
1.91619495;1.28210093;C1
4.07023869;9.79624908;C2
8.25847998;6.2908746;C2
7.46014372;3.35192887;C2
5.13227384;9.4444929;C2
-3.85924988;-2.57869271;C1
1.38641997;13.9725079;C1
7.16020374;6.53769099;C2
7.43865691;8.13432941;C2
3.49604285;9.89229172;C2
2.83760404;3.14058514;C1
6.4699724;4.61318212;C1
9.5195195;3.56480189;C1
5.82144573;5.87852334;C2
5.0929382;3.10116754;C2
8.19137302;3.71752311;C1
-1.61595846;8.55594397;C1
7.08550921;9.54518306;C2
3.36119445;7.14920578;C1
7.35142727;2.99477485;C2
5.53037786;5.60571131;C2
2.26148565;8.1375763;C2
5.48021468;9.36879566;C2
12.9647878;0.16756065;C1
5.7970076;4.08020675;C2
5.09158078;10.7487265;C2
6.87900389;4.99152044;C2
1.75190042;-3.10543793;C1
9.26878762;6.38212875;C2
-5.71241355;-0.68238489;C1
5.68017846;3.66671408;C2
0.38102474;7.24714699;C1
-1.69918859;1.79526058;C1
3.71203875;4.29388798;C2
12.2641812;1.32221533;C1
-3.9495627;3.95726591;C1
6.61549155;5.6264388;C1
4.89351102;4.61629021;C2
4.06736593;-2.13465466;C1
3.2087063;-0.2702701;C1
12.4242296;5.43599061;C1
-4.6929382;-9.82533049;C1
2.69998033;6.60911134;C2
12.2727078;2.78707592;C1
4.29116415;10.3808678;C1
2.91106279;4.00249622;C1
0.79616928;-3.82996415;C1
8.2538552;4.11245743;C2
8.84647285;9.4014738;C2
-6.23455445;-1.88814749;C1
1.36504685;1.14879743;C1
10.6542118;5.41695933;C2
2.87242632;-2.27337534;C1
3.67426527;1.17253524;C1
1.4988392;-3.38841584;C1
4.7286219;8.22748895;C2
9.71320777;2.57357772;C1
-7.9179382;1.82909378;C1
7.01522584;5.28208137;C1
9.33342552;1.55556325;C1
5.72885927;1.4178146;C1
3.93935455;5.7097883;C1
7.95772827;8.84900125;C2
-9.88790372;10.23835;C1
9.52489689;-5.80468178;C1
0.16037564;0.97976216;C1
0.85503633;0.73319246;C1
-4.22093318;-1.23618758;C1
6.53483518;3.37889084;C2
9.77016487;11.4410203;C1
-1.01311127;6.2239825;C1
3.51593929;4.49595962;C1
9.12036718;5.43736384;C2
0.25202997;7.24660129;C1
12.5945779;2.57741466;C1
6.9267751;3.72172487;C2
4.69492285;7.32387413;C2
2.30702405;7.88754257;C2
2.06921175;0.43396302;C1
3.29411353;9.31725925;C1
7.78584742;5.57007958;C2
-5.61291483;3.22747031;C1
5.06776793;6.04138883;C2
7.51359473;4.93605491;C2
6.14401849;6.51203642;C2
7.96391738;0.89409674;C2
5.01940793;-0.24048415;C1
7.40453505;9.66082087;C1
5.33551862;6.04965386;C2
5.49870698;8.246652;C2
4.02590082;8.38669145;C2
4.89707397;6.1506146;C2
5.83419002;9.32109266;C2
8.15964519;5.13193733;C2
5.75285856;2.41863962;C1
5.69474185;7.5109573;C1
7.37304379;5.97870884;C1
6.86688487;6.13159479;C2
8.65175004;6.90350341;C2
3.69357498;-1.55480631;C1
0.09089025;5.66956022;C1
7.08923587;4.32602953;C2
9.28518581;8.14762622;C2
4.92528649;5.1741106;C2
14.8782737;-0.27453336;C1
3.0088902;4.32211415;C2
3.42642228;-2.58368356;C1
8.29149464;7.51155746;C2
5.67258191;5.42796421;C2
-0.4510208;-5.45216164;C1
4.31094566;3.28568365;C1
5.00730018;9.17203558;C2
6.88811248;8.28208137;C2
2.95046664;8.19596597;C1
4.34463324;7.66184236;C2
12.8610599;7.32836487;C1
-3.52937615;6.82127041;C1
-5.87403075;7.14165697;C1
7.44381374;5.68869815;C2
5.52975031;5.65551524;C2
8.8389104;6.63931111;C2
6.02715751;7.55197085;C2
8.91466677;7.20173127;C2
3.43064574;1.82869588;C1
5.06264975;7.12705266;C2
4.01816557;9.12398697;C2
7.06095058;1.83091267;C2
2.39399231;-1.80858944;C1
8.9917511;11.6656655;C1
8.70520342;2.25850602;C1
6.3576929;5.53713996;C2
3.56169018;4.60440994;C2
8.47511263;-2.43350325;C1
-3.00589374;-4.79446054;C1
3.00975433;5.26850716;C1
5.60805098;7.65795427;C2
6.52263658;8.74802005;C2
6.1670378;6.64172582;C2
11.3072791;-5.06198841;C1
5.22112249;6.08953076;C1
7.7570801;5.92417088;C2
5.06435733;4.87330659;C2
3.65767836;5.78898824;C1
5.56603698;-0.04152081;C1
7.20759978;2.68194505;C2
2.52337465;8.1120195;C2
5.61475623;7.29298542;C2
4.21506663;3.41880856;C2
